,Model Type,MSE Score,MSE Raw Score,RMSE Score,Data Correlation,CV round,File
1750,XGBoost,7.888250961854313e+226,4.3714306844196975e+229,2.8086030267473386e+113,0.04773749856933931,5,transformed_data__impute__scale__pct_change__adf__log_all.csv
1751,LightGBM,2.683762677168514e+228,2.760788414488936e+229,1.6382193617365513e+114,0.04773749856933931,5,transformed_data__impute__scale__pct_change__adf__log_all.csv
1752,XGBoost,1.669411806751164e+18,1.6694126509846505e+18,1292057199.488925,0.6131668482489885,1,transformed_data__impute__scale__pct_change__adf__log_all.csv
1753,LightGBM,5150796335846.346,5205263932054.752,2269536.590550226,0.6131668482489885,1,transformed_data__impute__scale__pct_change__adf__log_all.csv
1754,XGBoost,1.0210522721774903e+22,1.0210527334025725e+22,101047131190.22679,-0.7834200656848412,2,transformed_data__impute__scale__pct_change__adf__log_all.csv
1755,LightGBM,265696435475.81207,17724023364.594868,515457.5011344893,-0.7834200656848412,2,transformed_data__impute__scale__pct_change__adf__log_all.csv
1756,XGBoost,2.102035620847718e+20,2.102035635128381e+20,14498398604.148384,-0.5607570293026533,3,transformed_data__impute__scale__pct_change__adf__log_all.csv
1757,LightGBM,6430018149975423.0,6431611549835130.0,80187393.95924664,-0.5607570293026533,3,transformed_data__impute__scale__pct_change__adf__log_all.csv
1758,XGBoost,1100327603174082.1,1100329549886772.0,33171186.339564074,-0.08968635657240263,4,transformed_data__impute__scale__pct_change__adf__log_all.csv
1759,LightGBM,4.717094581435985e+16,4.7170944545150376e+16,217188733.1662484,-0.08968635657240263,4,transformed_data__impute__scale__pct_change__adf__log_all.csv
1760,XGBoost,9.018778622958483e+22,9.018778610447e+22,300312813961.68365,0.06509615096093908,5,transformed_data__impute__scale__pct_change__adf__log_all.csv
1761,LightGBM,2.1613942171054986e+26,2.1613942170406027e+26,14701680914458.383,0.06509615096093908,5,transformed_data__impute__scale__pct_change__adf__log_all.csv
1762,XGBoost,3211264745.960383,2256321331457.709,56668.02225206367,-0.750805922485091,1,transformed_data__impute__scale__pct_change__local_smooth.csv
1763,LightGBM,3411193705.9129558,2278184207792.5117,58405.42531231971,-0.750805922485091,1,transformed_data__impute__scale__pct_change__local_smooth.csv
1764,XGBoost,12374020359.849997,1967656660724.0,111238.57406426063,-0.8664980825690503,2,transformed_data__impute__scale__pct_change__local_smooth.csv
1765,LightGBM,15028233444.827158,1993931320030.1973,122589.69550833854,-0.8664980825690503,2,transformed_data__impute__scale__pct_change__local_smooth.csv
1766,XGBoost,7190040152.938599,1757572538229.6072,84794.10447040878,-0.07179261035838232,3,transformed_data__impute__scale__pct_change__local_smooth.csv
1767,LightGBM,2645683426.7037325,1682157862696.184,51436.20735147307,-0.07179261035838232,3,transformed_data__impute__scale__pct_change__local_smooth.csv
1768,XGBoost,217519379538.75754,1791847005691.769,466389.7292380671,0.5872392410995452,4,transformed_data__impute__scale__pct_change__local_smooth.csv
1769,LightGBM,199980299943.6486,1742631478171.8237,447191.5696249747,0.5872392410995452,4,transformed_data__impute__scale__pct_change__local_smooth.csv
1770,XGBoost,1985918268997.2869,159523517056.43243,1409226.1241537097,0.845989992466381,5,transformed_data__impute__scale__pct_change__local_smooth.csv
1771,LightGBM,2256649603477.664,18339660853.368904,1502214.8992330171,0.845989992466381,5,transformed_data__impute__scale__pct_change__local_smooth.csv
1772,XGBoost,41669080.516882114,41757700.1150015,6455.159217004807,-0.28304460376421414,1,transformed_data__impute__scale__pct_change__local_smooth.csv
1773,LightGBM,17191535.707869545,17296653.918400276,4146.2676840587055,-0.28304460376421414,1,transformed_data__impute__scale__pct_change__local_smooth.csv
1774,XGBoost,3808697908.0024524,4319264240.468107,61714.64905516722,-0.45147214886392734,2,transformed_data__impute__scale__pct_change__local_smooth.csv
1775,LightGBM,40961246.72754496,141943715.38925663,6400.0973998483,-0.45147214886392734,2,transformed_data__impute__scale__pct_change__local_smooth.csv
1776,XGBoost,93385.15012106186,378211.79513023136,305.58983968885786,-0.07020573884895155,3,transformed_data__impute__scale__pct_change__local_smooth.csv
1777,LightGBM,72547.62788441854,203160.58312243188,269.3466685972161,-0.07020573884895155,3,transformed_data__impute__scale__pct_change__local_smooth.csv
1778,XGBoost,128659.10308343757,384467.89419494267,358.6908182312973,0.15171912192930573,4,transformed_data__impute__scale__pct_change__local_smooth.csv
1779,LightGBM,43395.07989003169,166025.58115102196,208.31485758349473,0.15171912192930573,4,transformed_data__impute__scale__pct_change__local_smooth.csv
1780,XGBoost,5672.344292926231,38243.34252325339,75.31496725702156,-0.3872047609498783,5,transformed_data__impute__scale__pct_change__local_smooth.csv
1781,LightGBM,14188.033223879263,41309.70160729634,119.11353081778435,-0.3872047609498783,5,transformed_data__impute__scale__pct_change__local_smooth.csv
1782,XGBoost,134584.98829780746,19777734.085539646,366.8582673156044,-0.359614936860222,1,transformed_data__impute__scale__pct_change__local_smooth.csv
1783,LightGBM,195540.51208547264,21167324.365357224,442.19962922358116,-0.359614936860222,1,transformed_data__impute__scale__pct_change__local_smooth.csv
