Date,FEDFUNDS,GDP,CPIAUCSL,CUSR0000SAH1,CPILFESL,PCE,PRFI,PNFI,EXPGS,HOUST,DSPI,DGS2,DGS5,DGS10,AAA,BAA,WTISPLC,IMPGS,GCE,FGCE,GDPCTPI,PCEPI,PCEPILFE,PAYEMS,UNRATE,INDPRO,CUMFNS,M1,M1V,M2,VIXCLS,BAMLH0A0HYM2,BAA10Y,BAMLC0A4CBBBEY,BAMLC0A1CAAAEY,T10YIE,T5YIE,DGS3MO,DGS30,BAA10YM,MORTGAGE30US,RSXFS,TCU,UMCSENT,NETEXP,PI,PPIACO,M1REAL,M2REAL
2014-10-31,0.0,9.354342509482194e-07,-7.998783625229322e-06,7.954671666721147e-05,6.806342663390197e-05,5.062414893730605e-06,0.00019693816723220792,8.949581792760952e-06,-2.5971221031872993e-05,0.00045990195972334114,3.395088429725135e-06,-0.1313628899835796,-0.07735597284805351,-0.05462373883426519,-0.033210280504516576,-0.015600181529384916,-0.010012474110765002,-1.2590916654842133e-06,-4.464175386686975e-06,-4.4436029712935365e-05,-3.021887742316043e-05,-2.772308153997649e-05,8.147962884486049e-05,1.2299491958245312e-07,-0.021591277124041852,1.6683281627294377e-05,9.114436003709869e-07,8.180020939052568e-06,-0.005665355271050498,4.658679526814424e-06,-0.058173757358788936,-0.015893197711379536,0.03524465074313343,-0.010142934229157241,-0.029660916403673188,-0.021292542499914635,-0.016678897858429687,0.0,-0.051752041853287634,0.04266621156040995,-0.03746849240411476,6.293875443041941e-08,-8.060740677318101e-05,0.0028056513136547334,-0.0005107349191372235,3.1812148439946952e-06,-0.0006811098275975036,5.6998949916620134e-05,1.366943510139329e-05
2014-11-30,0.0,1.1644211981298724e-06,-7.622630514914075e-05,9.133069829725393e-05,4.4747522053301125e-05,1.3158861873474592e-06,0.00015436264632828767,3.901789318527804e-06,-4.618867610128863e-05,-0.0006723066749919626,3.3763014153365134e-06,-0.05730659025787954,-0.06984065585748223,-0.05939279600321401,0.0,0.014416471683887044,-0.011891154914264845,-2.461432066047653e-05,-4.566804568173488e-06,-1.4137925951507313e-05,-5.70893089262281e-05,-8.900861563043705e-05,8.330418196589306e-05,1.4499960121483468e-07,0.01110370863868515,0.0005443669566458365,0.0008981009794262196,3.6759573721178995e-05,-0.0052546299471214475,2.050397005737281e-06,-0.021385806362521853,0.05865474548596228,0.04344513214004042,0.0041077883667435255,-0.04362022981629665,-0.05742861181792491,-0.08033649514824959,0.0,0.0,0.023506182125899056,-0.0017985417423552752,7.052800765627865e-08,0.0005974033464783979,0.0022129768965213348,-0.00018565767031908376,3.1423138404651496e-06,-0.0005827905222408614,3.68964370143221e-05,1.1038782499417366e-05
2014-12-31,0.3293807641633726,1.561681745920751e-06,-0.0001252623103390471,7.22426081163352e-05,2.1082613813172557e-05,8.339662032064155e-07,0.0001366370842754705,1.6293263709332706e-06,-5.472924181604277e-05,0.0006641557888094063,3.887105477273778e-06,0.3988115416060143,0.09217386294898744,-0.003769232508876841,-0.024048778322061204,-0.007081691561172998,-0.031419659616164886,-3.8924259933126315e-05,-1.679752490324482e-06,9.96928984831058e-06,-3.911134721645837e-05,-0.0001640789541326182,6.654183503851385e-05,1.4136796200325819e-07,-0.02210433244915999,1.46980430550947e-05,-8.403436900428218e-05,4.763187243783662e-05,-0.004172497846655854,6.078591718861048e-06,0.15080825000770748,0.0526789375370178,-0.0031720655221854077,0.042239922761283966,0.01967213114754096,-0.052613453738424965,-0.07660242702022946,0.49850448654037893,-0.053841736062681944,0.02270972430394691,-0.018160718728604475,-2.290215218581082e-07,-6.388979290061769e-05,0.005217572785140234,7.840323300256635e-05,3.3560194927506615e-06,-0.0009378088457017153,0.00021081362366381917,2.0747436783929984e-05
2015-01-31,-0.08242664029014168,1.952106469804704e-06,-0.0002602816966814636,9.804683814151893e-05,3.792769831645337e-05,-2.0125824620187416e-06,0.00013446110814974155,2.2112699238352462e-06,-3.9740877267546715e-05,0.00010213330950215038,6.748621055319148e-07,-0.2851074142183069,-0.2547839757142082,-0.1933274414494034,-0.06468888566533515,-0.04234009314820497,-0.0355777079926749,-3.533220826135164e-05,4.934681745005776e-06,2.1080654995841996e-05,4.0069401099351865e-05,-0.00044988353075336995,-3.423655466450182e-05,9.93334052790118e-08,0.011373976342129222,-0.0007040309958129543,-0.0005409915850391744,-2.0890015997032663e-06,-0.0018424386050657215,3.847564626902056e-06,0.029766709719083018,0.02860471405687659,0.031594478548928606,-0.050362708351492924,-0.12881915772089192,-0.015328019619865074,0.013948655000941557,0.0,-0.10492941369981124,0.012577785743708603,-0.03972442598204451,-1.8059045869822654e-07,-0.0009678319170932648,0.00444744894328597,0.0002648694749411984,2.590643852773411e-06,-0.0012564708247474465,4.286786819962529e-05,2.518922256644629e-05
2015-02-28,0.0,2.073314444350771e-06,0.00010331063088342418,9.026431977599003e-05,6.017268645064355e-05,3.4101460362201408e-06,0.0001345929451965766,4.53825351653947e-06,-8.822525058294062e-06,-0.0020469881500987386,4.046054468354043e-06,0.3202497948399752,0.23581429624170958,0.15873015873015883,0.03185349093024925,0.009292312934125135,0.011745838512339013,-1.656146565720551e-05,1.1862154485786647e-05,1.8353951824590098e-05,0.00013642869584584716,0.00016561641405110628,0.00010752838127348063,1.3587991043451098e-07,-0.022637238256932646,-0.0005688492842598203,-0.0007445039475220128,8.371324021605453e-05,0.0008520928692439256,9.188519133784823e-06,-0.15589251221498535,-0.10518067410294019,-0.046124610247043285,-0.006250520876739607,0.14419118232975014,0.0922154768308614,0.13493364637939287,-0.33266799733865604,0.03557314809424916,-0.01242155014735058,0.027718381246535362,-3.594943154272556e-08,-0.0007744257054894677,-0.002611284229584121,0.00031912962631808206,3.53491462279365e-06,-0.00023309298856288851,0.00012952510526820227,1.2831077550234937e-05
2015-03-31,0.0,2.3832427809011847e-06,0.0001095209199601932,9.992962917482195e-05,9.680473014062052e-05,4.029688325468683e-06,0.00017123649829264842,7.617941482074286e-06,7.478871912214302e-06,0.0008610458216005146,-5.729443767199527e-07,-0.10521885521885532,-0.07622398123717378,-0.025125628140703515,0.006092558143313331,0.0045748863140753215,-0.009437395803969628,-4.458539376583914e-06,1.7290943682857218e-05,1.5281305612457885e-05,0.00021113658526927814,0.000176623032477341,0.00014236102055109612,4.735989511672756e-08,-0.011806375442739103,-0.00030628330369086854,0.0005381441005196663,-1.1052847668224786e-06,0.0024022433542683075,2.0716750077642843e-06,0.05780028135398485,0.05446524209800119,0.029151685939170058,-0.010545319565364197,-0.02588921358277585,-0.032526671870934054,0.01166187557944931,0.49850448654037893,0.018484800872482943,-0.009486166007904973,-0.021144900234516206,3.9633758608381697e-07,-0.0004277626244791888,-0.0024424497771265985,0.00028923067049047013,3.8352696796195573e-08,0.00010387816130474903,-5.4368011572325514e-05,-3.2217476847451465e-06
2015-04-30,0.08983111749910155,2.089111692749057e-06,4.23389825507936e-05,9.396258865335128e-05,9.766527728927166e-05,2.218025396683032e-06,0.0001927079471781834,9.091685495787871e-06,3.971831590288133e-06,0.0019965277777775903,2.31417621332497e-06,0.03375641371860638,0.0383163783359195,0.04705479745048535,-0.024383900123545077,-0.009126974468809945,0.02151201217132126,1.556506482813802e-06,1.5472863868604136e-05,7.388290354848337e-06,0.0001918065724082485,8.278006449446984e-05,0.00017301151470561216,1.391938737604903e-07,0.0,-0.0004958794990215232,9.11345561980248e-05,-1.8806712581698193e-06,0.001975112742596652,3.2851677658207734e-06,-0.01971390856209676,-0.03270585491682776,0.01556178026766264,0.012779797695802397,0.03316848595812161,0.085655550479671,0.1186628393192144,-0.33266799733865604,-0.012080322061386095,0.012759170653907415,-0.0019810139621863065,3.322898334268132e-08,-0.0006612296901995496,0.0029445510575001332,3.4382814493971736e-05,2.517127549284126e-06,-0.00015595616072328067,-2.4613991084221354e-06,4.55454503001107e-06
2015-05-31,0.0,1.6813003298477014e-06,0.00013351141660322696,6.541527162329253e-05,5.630195703121288e-05,4.420186321629771e-06,0.00022389420006296845,9.801822154376083e-06,-1.545868639951653e-05,-0.0008565409634927468,3.0468695657592804e-06,0.048750365627742376,0.03651700779638123,0.02817354906222347,0.09347769540902573,0.061462630720521716,0.012779208810548504,1.7333612545300525e-07,1.0395829254772337e-05,-7.114289344301028e-07,0.00012662610028324472,0.0002235911129522261,0.0001143552647921986,1.6860958029774054e-07,0.02374169040835694,-0.00040847284807332684,0.00012412768208336367,-1.2555137636760527e-05,0.0002294587879552168,1.5910086534898227e-06,-0.020468645494591597,-0.0014942724536849417,0.0362844702467342,0.01871934706917422,0.037853337244844854,-0.06115673597763405,-0.07537536933930977,0.0,0.11022927689594342,0.04653673609947684,0.037224538415723485,1.953887722727643e-07,-0.0005366445365224681,-0.0053846225534917025,-0.00032170066384651363,2.9129227610003028e-06,0.0006438476749115463,-7.958569280042127e-05,-1.372007480071602e-06
2015-06-30,0.08226390259953953,1.1626237941264606e-06,0.0001117642873189606,9.499319751804514e-05,6.171943379551514e-05,2.149369264126122e-06,0.00021086468687747661,6.940452475401315e-06,-2.8452917341770245e-05,0.000961109394844506,1.8882366865646816e-06,0.04622211265869591,0.08079082677869653,0.08784661217630418,0.03718380485939221,0.032438700992218905,0.0013290701916766068,-4.011938596004683e-06,5.391769882123754e-06,-2.6316319079455752e-06,6.39066769065888e-05,0.0001806156459400743,0.00011215809606612837,7.77791695494301e-08,-0.03501400560224088,-0.00027734211594376834,-0.00034400472060902576,2.600519121576106e-05,-0.0012349810581134824,3.5872556864990912e-06,0.11236150612536555,0.061135371179039444,0.03152079226078586,0.05174582451000709,0.05635206396849024,0.03276233267808659,0.02194462274450415,0.0,0.038654214855587954,0.023288783830597515,0.027645998518174286,2.5192892882941464e-08,-0.0003564597206260345,0.005611398204560469,-0.00043640817541490406,1.5176094094737635e-06,0.0003534610910029823,6.973021380285438e-05,2.1551624487248233e-06
2015-07-31,0.0,7.762821425671973e-07,6.395573914019792e-05,0.00012978846235967012,8.194724427590394e-05,3.7423913317180535e-06,0.00017735569048382693,1.0884975274461084e-06,-3.212304722854942e-05,-0.00042355238409752527,2.3508704993790985e-06,0.04393158388003782,-0.04784638121870033,-0.05231949773282163,-0.006746670939558386,0.008977121165486768,-0.024485058898644496,-1.0303699072844452e-05,2.675425836207168e-06,3.4160889024192898e-06,3.308805171098328e-05,8.481675955684942e-05,9.26261606775114e-05,1.4611927845464834e-07,-0.012413108242303794,0.0005649693330056493,0.0009159652247585637,2.1381627885341814e-05,-0.0020573372253470668,3.852203041221358e-06,-0.1515198106572735,0.046875,0.030038066422356957,0.005558561296108211,-0.01109890231856081,-0.059215261139301645,-0.13668970343801945,0.49850448654037893,-0.009840655190822556,0.030831670291723734,-0.007117488380700143,2.1276721073881788e-07,0.0007251190076529301,-0.0030278837817461213,-0.0003035015655439288,1.6474793607113014e-06,-0.00022658770001393602,4.174016208935427e-05,4.997544399865106e-06
2015-08-31,0.07586102260658456,4.2466408745056583e-07,-1.6937587010712463e-07,7.310145247219069e-05,4.1092837528733384e-05,2.04039829054814e-06,0.00011764174329575994,-7.32701631844801e-06,-2.6067663751128123e-05,-0.0001224702244266851,1.639967774691442e-06,0.09727896828705607,0.0,0.0037227309954579457,-0.01887893454158507,-0.0012660150908998524,-0.02983928775143674,-1.7842940728374224e-05,1.4593714743327268e-06,1.4954336064576523e-05,2.0512231232228118e-05,6.664464689665195e-06,7.512947721632912e-05,6.986313993984083e-08,-0.012735608762098893,-0.0001541141062545437,-0.0003280055857265429,4.545888594442715e-06,-0.0022378450404384465,3.087572840954067e-06,0.3501716291847763,0.04040308014069782,0.0543183052688756,0.03446336906640535,0.014018403359931098,-0.054358031646257854,-0.06530143140737632,1.3240648791790801,-0.05319121990263498,0.03733572281959385,-0.025416097830191386,-1.7815292907563673e-08,-0.00018150029594155015,-0.0012649034615138666,2.303584421725624e-05,1.3210358271731337e-06,-0.0005108764315077119,-4.35900532068656e-05,8.18326834495231e-06
2015-09-30,0.0,2.5374784784482074e-07,-9.081235078167715e-05,0.00010026615777292136,8.112577055130465e-05,-6.377374482946507e-07,9.052043166990487e-05,-1.2394637798340824e-05,-2.2667751745752973e-05,0.0006741154028200302,9.007582209008547e-07,-0.12700670595407437,-0.09708848758980682,-0.05627968753517465,0.005277713272393347,0.0188407653872531,0.010973636531967479,-2.3184801350994988e-05,1.163711148999269e-06,1.946050879042538e-05,1.5726511750635552e-06,-0.000128681176163159,0.00013456343567641582,6.676047492604198e-08,-0.013071895424836555,-0.0002539254286219039,-0.0002914847515210761,1.1202676752031238e-05,-0.002220306748725087,4.186952996754201e-06,-0.04006790132896976,0.09711402453184714,0.033442019898001885,0.0034547087680509847,-0.04180089398178599,-0.1182903813789431,-0.13621829339986513,-0.7128599942971201,0.024300024300024647,0.03771364781487119,0.0037578162578160157,-1.3263527731677272e-07,-0.00030309653123117286,-0.005261578831884606,0.00023172655490144578,8.254756129755236e-07,-0.000732844438849245,8.73086018389202e-05,1.4149116415174134e-05
2015-10-31,-0.14116318464144562,3.088881241897212e-07,3.9941469916815464e-05,8.458116714216146e-05,7.320334216731617e-05,5.53197943897743e-07,0.00011502157050613526,-1.4173966767061508e-05,-2.7447017928117212e-05,-0.0012698587549876406,1.2960110460369378e-06,0.15988372093023262,0.0950425790754259,0.039920797138477404,-0.021135505006472655,0.0,0.0028941459093827504,-2.8071219076331033e-05,1.6917490115453404e-06,1.6287652530033725e-05,-3.06656748281231e-05,0.0,3.070388850168193e-05,1.5725025681589955e-07,0.0,-0.0004300266709184042,-0.00014983824879566399,-4.185703436165866e-05,-0.0023528568292160434,1.092300621063913e-06,-0.15352930162890843,-0.0684033517642364,-0.023044076404939773,-0.00862538900504417,0.005876131155247322,0.07381299477773062,0.1084779706275032,0.0,-0.015778885221759298,0.023772224057966307,-0.018827569586697068,-9.645472631714114e-08,-0.0005260940926157254,0.0032110091743120517,0.0002826666953470447,1.5420671666266372e-06,-0.0004284117304484969,-5.532998621382568e-05,4.481734053429776e-06
2015-11-30,0.0,5.224359085342911e-07,4.8166758369383444e-05,8.514409240079068e-05,7.63200873061809e-05,1.8363712650515396e-06,0.0001596378903923057,-1.1370486109885114e-05,-3.397406209793008e-05,0.0009115945227562428,2.6830875210492877e-07,0.23156611822059703,0.07341314660040643,0.01895835229168541,0.019806615409546646,0.014535517537102027,-0.015595495426806605,-2.858454658505316e-05,2.6795268275314754e-06,5.668201343400625e-06,-6.128225565349421e-05,5.819232713810685e-05,9.965813717238703e-05,1.1098099550466145e-07,0.013245033112582627,-0.000656614756270768,-0.00029755339591064356,7.627699661050258e-05,-0.002382343101535178,6.831181405875242e-06,0.026918645504548033,0.05167424555601485,0.002374845635033651,0.017339466880751386,0.03180385694046883,0.03383579488741151,0.07374631268436604,5.429417571569596,0.03717797895195285,-0.01621721805208043,0.03622359490581872,1.093535946239399e-07,-0.0008163909203655617,0.0014259076450586772,0.00017774796236325052,3.0342636869740147e-07,-0.0004905467552377418,0.00013599948897891068,1.1788896876030464e-05
2015-12-31,0.9765625,8.659623924600623e-07,-4.341092532123003e-05,7.869111590808053e-05,4.9219236674558076e-05,1.8602497888764447e-06,0.0001847424226928407,-6.988571427668511e-06,-3.2775040363808294e-05,-0.00019190571229499298,2.8639771230132283e-06,0.11542457004347662,0.05668934240362811,0.022126586199648246,-0.015867922465804485,0.0,-0.02621403958050328,-2.5729163443788394e-05,3.8265017268113155e-06,-2.3534393566171374e-06,-4.2440593666981385e-05,-7.823648603833e-05,6.12260469681214e-05,1.3359359551934347e-07,-0.013071895424836555,-0.0004518463260818617,-0.00033912996899465586,5.665874236226998e-06,-0.0028225790015696806,3.7111818536050833e-06,0.04571154302170455,0.05070058997050153,0.00708616780045368,0.04157561606747895,0.013836387485264279,-0.027250035425046115,0.006801333061279946,0.7519362358072035,-0.01526752521050101,0.0047276853252646855,0.010842165180386276,6.334480162628608e-08,-0.0005606503568964527,0.001387794666171116,0.00011938546919321169,2.164816133021219e-06,-0.0006122514293984693,5.9259787751564375e-05,1.1572990742836353e-05
