target,feature,mse_improvement,rmse_improvement,pct_improvement_mse,pct_improvement_rmse,combined_score
PNFI,PNFI_lag_1,0.0005446423417713707,0.018871416473954624,75.17698871727622,49.88335295601133,62.53017083664378
PNFI,PNFI_lag_2,0.0002605141764942941,0.0075019011473856576,35.958774786598,19.82998908919342,27.89438193789571
PNFI,PNFI_lag_3,1.1675297293737424e-05,0.00027605220180536294,1.6115414201318001,0.729696651862154,1.170619035996977
EXPGS,EXPGS_lag_8,1.536094995396105e-05,0.0003801370471854734,1.6904556138533022,0.8921244894793752,1.2912900516663388
EXPGS,EXPGS_lag_7,1.3270059081711e-05,0.000302363033919055,1.4603553776346245,0.709600575028563,1.0849779763315937
EXPGS,EXPGS_lag_6,-4.266599109600637e-06,-8.93778579864335e-05,-0.4695345299934428,-0.20975639316733796,-0.3396454615803904
HOUST,HOUST_lag_1,0.06305443666098043,0.008996155618136825,0.2536936267830713,0.12759660300411094,0.1906451148935911
HOUST,HOUST_lag_3,0.04092365786282315,0.00580944568459163,0.16465250875635568,0.08239803379972052,0.1235252712780381
HOUST,HOUST_lag_4,0.03770890695497897,0.005347619899906952,0.15171825923795743,0.0758477467874915,0.11378300301272445
DSPI,DSPI_lag_1,0.0007688209481721015,0.007731589638191788,14.419134974558093,7.487285032514766,10.95321000353643
DSPI,DSPI_lag_2,0.00011029411503099464,0.0010704263378103207,2.068551507750212,1.0366027521568264,1.5525771299535192
DSPI,DSPI_lag_6,5.740057296582321e-05,0.0005553733683549278,1.0765401374389982,0.5378245487578234,0.8071823430984109
DGS2,DGS2_lag_5,0.000837728130410104,0.005643255654501078,8.759936292767206,4.100943632477895,6.43043996262255
DGS2,DGS2_lag_7,0.0007476433342787411,0.004838074208163623,7.817939663536976,3.5158197381327505,5.666879700834863
DGS2,DGS2_lag_6,0.0004554470627197039,0.002688825732391986,4.7625083954139535,1.9539647751561071,3.3582365852850304
DGS5,DGS5_lag_6,-5.1058166155174564e-05,-0.0009341630467562603,-3.0000174035931444,-1.603123842811259,-2.3015706232022017
DGS5,DGS5_lag_4,-5.368162181357402e-05,-0.0009185319155583863,-3.1541634144160504,-1.5762991474859247,-2.3652312809509874
DGS5,DGS5_lag_9,-8.343708240039945e-05,-0.0014762863998486753,-4.90250077814174,-2.5334655814456695,-3.7179831797937046
DGS10,DGS10_lag_1,0.0014964614257559202,0.01432123408067075,24.017320117169547,12.841034279223662,18.429177198196605
DGS10,DGS10_lag_2,0.0014602642540657452,0.014400615066234815,23.436376936906857,12.912210684204187,18.174293810555522
DGS10,DGS10_lag_4,0.000528957072571239,0.005081097346417651,8.489447921296724,4.555930364233356,6.52268914276504
AAA,AAA_lag_1,0.0002002244932733212,0.002422208038757201,4.975534888048305,2.7012283515011193,3.838381619774712
AAA,AAA_lag_3,0.00017840552840598127,0.002060223919550866,4.433338380799032,2.2975463597201786,3.3654423702596055
AAA,AAA_lag_7,0.00011428175875267173,0.0013233632650958282,2.8398767226007626,1.4758048498782423,2.1578407862395026
BAA,BAA_lag_2,0.0006376011859816986,0.008459891234502664,20.39950718502414,10.710268797825579,15.55488799142486
BAA,BAA_lag_1,0.0004183116348983472,0.005748625292260223,13.383524669185556,7.277791214026774,10.330657941606166
BAA,BAA_lag_5,2.7310931044576513e-05,0.00029183225521689504,0.8737899902361993,0.36946123899337907,0.6216256146147892
WTISPLC,WTISPLC_lag_5,0.07450086798314359,0.00967693742447473,0.2509823759479725,0.12559255741618833,0.1882874666820804
WTISPLC,WTISPLC_lag_6,0.031025801619147586,0.004029182068867598,0.10452132460827125,0.05229291645977531,0.07840712053402328
WTISPLC,WTISPLC_lag_7,0.021558199321543015,0.002799879064852462,0.07262637648872836,0.03633835342589847,0.054482364957313414
IMPGS,IMPGS_lag_1,0.0002315073121770989,0.005845787659836385,26.635436562904037,14.067405264526897,20.351420913715465
IMPGS,IMPGS_lag_4,6.56682214567252e-05,0.0016169794668544346,7.555276463454885,3.891127558556688,5.723202011005787
IMPGS,IMPGS_lag_5,2.4421461170073865e-05,0.0005153192396004369,2.8097439931889667,1.2400731955888522,2.0249085943889096
GCE,GCE_lag_4,-6.156163056210732e-07,-6.644481999229686e-05,-0.5620439381064228,-0.45127342098023515,-0.506658679543329
GCE,GCE_lag_3,-2.1101787478580052e-06,-0.00017893845790759033,-1.9265460689155518,-1.2152966936210783,-1.570921381268315
GCE,GCE_lag_9,-7.242905917505572e-06,-0.000553771355818633,-6.612611342550828,-3.7610500594344223,-5.186830700992625
FGCE,FGCE_lag_1,0.00017509859066090479,0.005832766598091496,31.033386729215508,17.387694174515058,24.210540451865285
FGCE,FGCE_lag_5,0.00013573367797098184,0.0043618678025529566,24.056594086526687,13.00289015598034,18.529742121253513
FGCE,FGCE_lag_4,0.00010965363330297129,0.003591038791279269,19.434328944113435,10.705020202936753,15.069674573525095
GDPCTPI,GDPCTPI_lag_1,6.471336437992389e-05,0.008157353144759315,90.31934866690322,68.65427555218382,79.48681210954352
GDPCTPI,GDPCTPI_lag_2,5.432079906425665e-05,0.006026057004802176,75.81462094515132,50.71676691680887,63.26569393098009
GDPCTPI,GDPCTPI_lag_5,4.837196208580072e-05,0.005064065222831453,67.51192974113141,42.620409225002334,55.06616948306687
PCEPI,PCEPI_lag_2,2.7749277136875116e-08,6.097871039921661e-06,0.09868497140773369,0.08131408166001834,0.08999952653387602
PCEPI,PCEPI_lag_1,1.6569478217872552e-09,3.236456686235914e-07,0.005892616503508518,0.0043157603949112115,0.005104188449209865
PCEPI,PCEPI_lag_8,-9.190857589322864e-08,-1.2139663102606231e-05,-0.326855187593192,-0.16188035961861147,-0.24436777360590173
PCEPILFE,PCEPILFE_lag_10,1.8904380941293979e-06,0.0002322079324216051,5.6025787709498305,2.827438840391544,4.215008805670687
PCEPILFE,PCEPILFE_lag_9,1.2409780135078888e-06,0.0001502511880098166,3.67781261670814,1.82950703002944,2.75365982336879
PCEPILFE,PCEPILFE_lag_5,-1.3197616221356917e-06,-0.00014309987307161397,-3.9112989046578237,-1.742430307863746,-2.8268646062607847
PAYEMS,PAYEMS_lag_1,0.0005799610104462657,0.0048383694120209125,7.776738360077813,3.9619342182194637,5.869336289148638
PAYEMS,PAYEMS_lag_6,0.0002755273348169114,0.0022707542698864186,3.6945655920419895,1.859423759723469,2.7769946758827295
PAYEMS,PAYEMS_lag_8,0.0002191848929124808,0.001804998570114097,2.939065788837137,1.4780362948320769,2.208551041834607
UNRATE,UNRATE_lag_1,0.03492772958419321,0.024169653864201113,3.274200153200044,1.6547259777853378,2.464463065492691
UNRATE,UNRATE_lag_5,0.012747668002416779,0.008762833083752142,1.194993691927383,0.599929466270027,0.8974615790987049
UNRATE,UNRATE_lag_10,6.669652965896056e-05,3.702404144934057e-05,0.006252275490763886,0.0025347753647215897,0.004393525427742738
INDPRO,INDPRO_lag_3,0.00042046764412345325,0.0029364915053828045,4.031646639601207,2.0333116364848376,3.0324791380430223
INDPRO,INDPRO_lag_6,0.0003197336663198439,0.0022388630628935036,3.065760658166825,1.550253528720493,2.308007093443659
INDPRO,INDPRO_lag_1,0.00028795828936749833,0.002019202416242677,2.761083012924823,1.3981541447807853,2.0796185788528043
CUMFNS,CUMFNS_lag_2,0.05002753843491803,0.01745167790757174,1.2102762003778018,0.606960359675052,0.9086182800264269
CUMFNS,CUMFNS_lag_8,0.029132195396814886,0.010146902424646775,0.7047718887745947,0.35290403466472225,0.5288379617196585
CUMFNS,CUMFNS_lag_4,0.02808705709235948,0.009782618331373616,0.6794876941978192,0.3402344217227457,0.5098610579602825
USREC,USREC_lag_2,0.0,0.0,0.0,0.0,0.0
USREC,USREC_lag_3,0.0,0.0,0.0,0.0,0.0
USREC,USREC_lag_4,0.0,0.0,0.0,0.0,0.0
